,Costco-Brand,Costco-Item,Costco-Price,RCS-Brand,RCS-Item,RCS-Price,RCS-Unit Price,RCS-Unit Measure
0,FoodSaver,food preservation system,$119.99 ,,Beverage Dispenser Gradient Red Water-Colour (1 x Box & 5 x Bag-in-Box Bags 5 L),$34.95,,
1,Salton,glass kettle,$34.99 ,Hamilton Beach,"Glass Kettle, 1 l",$39.99,$39.99,/ 1ea
2,Comfort Grande ,foam pillow,$27.99 ,,The Ploom Pillow,$99.00,,
3,Elizabeth Arden Millenium,"day, night and eye creams",$34.99 ,LOreal Paris,Skin Expertise Collagen Moisture Filler Day/Night Cream,$22.99,$45.98,/ 100ml
4,Charmin Blue ,Ultra Soft bathroom tissue,$19.99 ,Kleenex,"Ultra Soft Facial Tissues, 16 Flat Boxes, 3-Ply, 70 Tissues per Box (1,120 Total Tissues)",$19.99,$0.02,/ 1ea
5,Gillette Fusion,ProGlide Power,$49.99 ,Gillette,Fusion Proglide Cartridges Microcomb,$44.99,$5.62,/ 1ea
6,,Bio-Oil skin care treatment,$19.99 ,,Argan Queen Argan Oil for Hair Nails and Skin 100% Bio Organic Pure Cold Triple Pressed Virgin Oil from Morocco 4oz 120ml in a glass bottle from authentic Argania Spinose Kernels for men and women,$22.00,,
7,Scotties Premium,2-ply facial tissues,$17.99 ,No Name,2-Ply Hypoallergenic Facial Tissues,$7.99,$1.33,/ 1ea
8,Tide Pods with Downy,laundry detergent,$20.99 ,Gain,Liquid Laundry,$18.99,$0.42,/ 100ml
9,Tide HE,liquid laundry detergent,$18.99 ,Gain,Liquid Laundry,$18.99,$0.42,/ 100ml
10,Lindt,Lindor assorted chocolates,$17.49 ,Lindt,"Chocolate, Lindor Assorted Truffles",$9.99,$4.16,/ 100g
11,Kirkland Signature,shredded pizza mozzarella cheese,$12.99 ,President's Choice,Pizza Mozzarella Shredded Cheese,$5.49,$1.72,/ 100g
12,Cuisine Adventures,French onion soup,$9.49 ,Lipton,Recipe Soup Mix for a great flavour Onion no artificial flavours,$2.99,$2.65,/ 100g
13,Erie Meats ,chicken breast bites,$11.99 ,President's Choice,Yuzu Citrus Chicken Breast Bites,$11.99,$1.71,/ 100g
14,Carr's,crackers variety pack,$4.99 ,,Yumbox Presto 5-Compartment Stainless Steel Leakproof Bento Box - Santa Fe Blue,$54.99,,
15,Webber Naturals,triple strength Omega-3,$23.99 ,Webber Naturals,"Omega-3, Triple Strength",$16.11,$0.20,/ 1ea
16,Kirkland Signature ,"glucosamine, chondroitin and MSM",$23.99 ,Life Brand,"Glucosamine, Chondroitin MSM 1300mg",$24.99,$0.21,/ 1ea
17,Jamieson,probiotic,$23.99 ,Jamieson,Probiotic 5 Billion,$16.49,$0.23,/ 1ea
18,Jamieson,B100 complex timed-release vitamins,$20.99 ,Webber Naturals,B100 Complex Timed Release,$17.99,$0.13,/ 1ea
19,Nature's Bounty,"hair, skin and nails supplement",$11.99 ,New Chapter,"Perfect Hair, Skin & Nails",$47.29,$1.58,/ 1ea
